sq_ficha,sq_taxon,Nome Cientifico,Nome Comum,Grupo Taxonômico,Categoria de Risco,Unidades de Conservação onde ocorrem,Código CNUC
24266,1063250,Aburria jacutinga,jacutinga,Aves,Em Perigo (EN),,
30964,2025106,Aceratobasis cornicauda,,Invertebrados de Água Doce,Vulnerável (VU),Reserva Biológica do Córrego Grande/Floresta Nacional de Rio Preto,0000.00.02050000.00.0122
30966,2025108,Aceratobasis mourei,,Invertebrados de Água Doce,Em Perigo (EN),Reserva Biológica do Córrego Grande,0000.00.0205
12840,2028135,Acherontides eleonorae,Colêmbolo/Pulga-de-jardim/Snowflea/Springtail,Invertebrados Terrestres,Em Perigo (EN),PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA/APA SERRA DO MAR/PARQUE ESTADUAL INTERVALES,
24268,8285,Acrobatornis fonsecai,Graveteiro/Pink-legged Graveteiro/acrobata,Aves,Vulnerável (VU),Parque Nacional de Boa Nova/Parque Nacional da Serra das Lontras/ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU/ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,0000.00.19080000.00.1909
25676,844311,Actinote quadra,Borboleta-palha,Invertebrados Terrestres,Vulnerável (VU),Parque Nacional da Serra dos Órgãos/Parque Nacional do Itatiaia/Área de Proteção Ambiental da Serra da Mantiqueira/Parque Nacional do Caparaó/PARQUE ESTADUAL SERRA DO ROLA MOÇA,0000.00.01520000.00.01840000.00.00110000.00.0160
25677,844280,Actinote zikani,Borboleta/Borboleta-palha,Invertebrados Terrestres,Criticamente em Perigo (CR),PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA,
32369,2024798,Adebrotus lugoi,efemérida/siriruia,Invertebrados de Água Doce,Vulnerável (VU),Reserva Biológica de Sooretama,0000.00.0201
15764,217566,Adelophryne maranguapensis,Rãnzinha-pulga/Shield Frog,Anfíbios,Vulnerável (VU),Parque Nacional de Ubajara,0000.00.0167
24047,2025183,Aegla brevipalma,Egla,Invertebrados de Água Doce,Criticamente em Perigo (CR),,
24048,2025184,Aegla camargoi,Egla,Invertebrados de Água Doce,Em Perigo (EN),,
12850,2025186,Aegla cavernicola,Egla,Invertebrados Terrestres,Criticamente em Perigo (CR),PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,
24050,2025187,Aegla franca,Egla,Invertebrados de Água Doce,Criticamente em Perigo (CR),,
24053,2025189,Aegla grisella,Caranguejo de rio/Egla,Invertebrados de Água Doce,Vulnerável (VU),,
24054,2025190,Aegla inconspicua,Egla,Invertebrados de Água Doce,Vulnerável (VU),ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE,
24055,2025191,Aegla inermis,Caranguejo de rio/Egla,Invertebrados de Água Doce,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE,
24056,2025192,Aegla itacolomiensis,Egla,Invertebrados de Água Doce,Em Perigo (EN),,
24059,2025194,Aegla lata,Caranguejo de rio/Egla,Invertebrados de Água Doce,Criticamente em Perigo (CR),,
24061,2025195,Aegla leachi,Egla,Invertebrados de Água Doce,Vulnerável (VU),,
12852,2025196,Aegla leptochela,Egla/egla,Invertebrados Terrestres,Criticamente em Perigo (CR),,
24062,2025197,Aegla leptodactyla,Egla,Invertebrados de Água Doce,Vulnerável (VU),PARQUE ESTADUAL DO TAINHAS,
24063,2025198,Aegla ligulata,Egla,Invertebrados de Água Doce,Vulnerável (VU),Floresta Nacional de São Francisco de Paula/Parque Nacional da Serra Geral/ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL/ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE,0000.00.01330000.00.0153
24066,2025200,Aegla manuinflata,Egla,Invertebrados de Água Doce,Em Perigo (EN),,
12854,2025202,Aegla microphthalma,Egla/egla,Invertebrados Terrestres,Criticamente em Perigo (CR),PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,
24070,2025204,Aegla oblata,Egla,Invertebrados de Água Doce,Em Perigo (EN),,
24071,2025205,Aegla obstipa,Caranguejo de rio/Egla,Invertebrados de Água Doce,Em Perigo (EN),,
24079,2025210,Aegla perobae,Egla,Invertebrados de Água Doce,Criticamente em Perigo (CR),APA CORUMBATAí/BOTUCATU E TEJUPá PERIMETRO CORUMBATAí,
24080,2025211,Aegla plana,Egla,Invertebrados de Água Doce,Em Perigo (EN),Floresta Nacional de Canela/ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL,0000.00.0087
24044,2025213,Aegla pomerana,Egla,Invertebrados de Água Doce,Em Perigo (EN),,
24046,2025215,Aegla renana,Caranguejo de rio/Egla,Invertebrados de Água Doce,Criticamente em Perigo (CR),,
24052,2025216,Aegla rossiana,Egla,Invertebrados de Água Doce,Em Perigo (EN),ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL,
24068,2025220,Aegla spinipalma,Egla,Invertebrados de Água Doce,Vulnerável (VU),,
24072,2025221,Aegla spinosa,Egla,Invertebrados de Água Doce,Vulnerável (VU),,
24075,2025222,Aegla strinatii,Egla,Invertebrados de Água Doce,Em Perigo (EN),APA QUILOMBOS DO MéDIO RIBEIRA/PARQUE ESTADUAL CAVERNA DO DIABO,
24082,2025224,Aegla violacea,Caranguejo de rio/Egla,Invertebrados de Água Doce,Em Perigo (EN),,
27252,176936,Aguarunichthys tocantinsensis,Bagre/Bagre pedra/Jauzinho do canal,Peixes Continentais,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL,
23134,2023573,Akodon mystax,Caparaó Grass Mouse/Rato-do-chão do Caparaó/Schnurrbart-Feldmaus,Mamíferos,Vulnerável (VU),Parque Nacional do Caparaó,0000.00.0160
11687,8291,Alectrurus tricolor,Cock-tailed Tyrant/Yetapá Chico/galito,Aves,Vulnerável (VU),Floresta Nacional de Ipanema/Parque Nacional de Ilha Grande/Área de Proteção Ambiental das Ilhas e Várzeas do Rio Paraná/Parque Nacional das Emas/Floresta Nacional de Brasília/Parque Nacional da Chapada dos Veadeiros/Parque Nacional da Serra da Canastra/Área de Proteção Ambiental da Bacia do Rio Descoberto/Área de Proteção Ambiental do Planalto Central/Parque Nacional de Brasília/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA/ESTAçãO ECOLóGICA DE SANTA BáRBARA/ESTAÇÃO ECOLÓGICA DO JARDIM BOTÂNICO/ESTAÇÃO ECOLÓGICA DE ITIRAPINA/APA CORUMBATAÍ/BOTUCATU E TEJUPÁ PERIMETRO CORUMBATAÍ/ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES/ESTAÇÃO ECOLÓGICA DE ÁGUAS EMENDADAS/ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO/APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO,0000.00.00940000.00.01610000.00.00250000.00.01550000.00.00860000.00.01390000.00.01440000.00.00030000.00.00230000.00.0159
36082,1218787,Aleuron prominens,Mariposa/Mariposa-esfinge,,Vulnerável (VU),,
36083,1218792,Aleuron ypanemae,Mariposa/Mariposa-esfinge,Invertebrados Terrestres,Em Perigo (EN),PARQUE ESTADUAL DA SERRA DO MAR,
19141,1545589,Allobates brunneus,Chapada Rocket Frog/Chupada Rocket Frog,Anfíbios,Criticamente em Perigo (CR),ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES,
19160,1835512,Allobates goianus,Goias Rocket Frog,Anfíbios,Em Perigo (EN),Floresta Nacional de Silvânia/ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,0000.00.0110
21785,1545595,Allobates olfersioides,Alagoas Rocket Frog/Guanabara Rocket Frog/Linhares Rocket Frog/Rio Rocket Frog,Anfíbios,Vulnerável (VU),Parque Nacional da Serra das Lontras/Parque Nacional Descobrimento/Parque Nacional do Pau Brasil/Refúgio de Vida Silvestre de Una/Reserva Biológica de Sooretama/Reserva Biológica do Tinguá/Reserva Biológica de Saltinho/ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU/ÁREA DE PROTEçãO AMBIENTAL DE MASSAMBABA/APA DA ORLA MARíTIMA DA BAíA DE SEPETIBA/ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ/AREA DE PROTEçãO AMBIENTAL DO RIO GUANDU/ÁREA DE PROTEÇÃO AMBIENTAL DE PRAIA MOLE/ÁREA DE PROTEÇÃO AMBIENTAL DE MACAÉ DE CIMA/ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE/ÁREA DE PROTEÇÃO AMBIENTAL DE GERICINÓ/MENDANHA/ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,0000.00.19090000.00.01710000.00.01760000.00.18800000.00.02010000.00.02120000.00.0198
9426,597476,Alopias superciliosus,Tubarão-raposa/tubarão-rabudo/tubarão-raposa/tubarão-raposa-olhudo,Peixes Marinhos,Vulnerável (VU),Área de Proteção Ambiental de Fernando de Noronha - Rocas - São Pedro e São Paulo/Monumento Natural do Arquipelago de Trindade e Martim Vaz e Monte Columbia,0000.00.00150000.00.3642
9431,597475,Alopias vulpinus,Tubarão-raposa/tubarão-rabudo/tubarão-raposa/tubarão-saltador,Peixes Marinhos,Vulnerável (VU),Parque Nacional Marinho dos Abrolhos/Área de Proteção Ambiental da Baleia Franca/APA MARINHA DO LITORAL CENTRO,0000.00.01850000.00.0006
30203,9818,Alouatta belzebul,Capelão/Guariba/Guariba-de-mãos-ruivas/Górgo/Mono-aullador/Red-handed Howler Monkey/Red-handed Howling Monkey,Mamíferos,Vulnerável (VU),Reserva Biológica do Gurupi/Reserva Biológica do Lago Piratuba/Reserva Biológica do Tapirapé/Área de Proteção Ambiental do Igarapé Gelado/Reserva Extrativista Maracanã/Reserva Extrativista Quilombo Flexal/Floresta Nacional de Carajás/Floresta Nacional de Caxiuanã/Floresta Nacional de Tapirape-Aquiri/Estação Ecológica de Murici/Reserva Biológica Guaribas/Reserva Extrativista Marinha da Lagoa do Jequiá/Parque Nacional do Araguaia/Reserva Extrativista Rio Xingu/Estação Ecológica da Terra do Meio/ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ/ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI/RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL PUCURUÍ - ARARÃO/ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES/ÁREA DE PROTEÇÃO AMBIENTAL DO RIO CURIAÚ/ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU/ÁREA DE PROTEÇÃO AMBIENTAL DE UPAON-AÇU/MIRITIBA/ALTO PREGUIÇAS,0000.00.02070000.00.02090000.00.02110000.00.00220000.00.02270000.00.15200000.00.00880000.00.00890000.00.01240000.00.00590000.00.01960000.00.02460000.00.01680000.00.16350000.00.0047
30205,2023558,Alouatta discolor,Guariba-de-mãos-ruivas/Red-handed Howling Monkey/Spix’s Red-handed Howler Monkey/guariba-de-mãos-vermelhas,Mamíferos,Vulnerável (VU),Floresta Nacional do Jamanxim/Floresta Nacional do Trairão/Parque Nacional do Jamanxim/Parque Nacional do Rio Novo/Área de Proteção Ambiental do Tapajós/Reserva Extrativista Rio Iriri/Reserva Extrativista Riozinho do Anfrísio/Reserva Extrativista Tapajós-Arapiuns/Reserva Extrativista Verde para Sempre/Floresta Nacional de Altamira/Floresta Nacional de Itaituba I/Floresta Nacional de Itaituba II/Floresta Nacional de Tapajós/Estação Ecológica da Terra do Meio,0000.00.02660000.00.02650000.00.02670000.00.02640000.00.02680000.00.02800000.00.02580000.00.02590000.00.02600000.00.00830000.00.00950000.00.00960000.00.01230000.00.0047
30206,2026602,Alouatta guariba clamitans,Barbado/Bugio/Bugio-ruivo/Guariba/Mono Aullador/Southern Brown Howler Monkey/Southern Brown Howling Monkey,Mamíferos,Vulnerável (VU),Reserva Biológica de Augusto Ruschi/Reserva Biológica de Sooretama/Reserva Biológica do Córrego Grande/Floresta Nacional de Pacotuba/Área de Relevante Interesse Ecológico Floresta da Cicuta/Área de Relevante Interesse Ecológico Mata de Santa Genebra/Área de Proteção Ambiental da Bacia do Rio São João/Mico-Leão-Dourado/Floresta Nacional de Ipanema/Floresta Nacional de Passa Quatro/Parque Nacional da Serra da Bocaina/Parque Nacional da Serra dos Órgãos/Parque Nacional do Itatiaia/Reserva Biológica do Tinguá/Reserva Biológica União/Área de Proteção Ambiental de Cananéia-Iguape-Peruíbe/Área de Proteção Ambiental de Guapi-Mirim/Área de Proteção Ambiental de Petrópolis/Área de Proteção Ambiental da Serra da Mantiqueira/Floresta Nacional de Canela/Floresta Nacional de São Francisco de Paula/Floresta Nacional de Três Barras/Parque Nacional da Serra do Itajaí/Parque Nacional da Serra Geral/Parque Nacional Aparados da Serra/Parque Nacional do Iguaçu/Parque Nacional do Superagui/Parque Nacional Saint-Hilaire/Lange/Área de Proteção Ambiental de Guaraqueçaba/Área de Proteção Ambiental das Ilhas e Várzeas do Rio Paraná/Estação Ecologica de Aracuri-Esmeralda/Parque Nacional do Caparaó/ESTAçãO ECOLóGICA ESTADUAL ARATINGA/PARQUE ESTADUAL DO TURVO/PARQUE ESTADUAL LAGAMAR DE CANANEIA/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA/PARQUE ESTADUAL DO RIO DOCE/PARQUE ESTADUAL DAS ARAUCÁRIAS/ESTAÇÃO ECOLÓGICA ESTADUAL DE GUAXINDIBA/PARQUE ESTADUAL DA CANTAREIRA/APA DOS MORROS DA BABILÔNIA E DE SãO JOãO/REFúGIO DE VIDA SILVESTRE BANHADO DOS PACHECOS/ÁREA DE PROTEÇÃO AMBIENTAL ROTA DO SOL/APA PIRACICABA JUQUERí-MIRIM AREA II/PARQUE ESTADUAL NOVA BADEN/RESERVA BIOLÓGICA ESTADUAL DO AGUAÍ/ÁREA DE PROTEçãO AMBIENTAL SERRA DONA FRANCISCA/PARQUE ESTADUAL SERRA DO BRIGADEIRO/RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL/ESTAÇÃO ECOLÓGICA DO BARREIRO RICO/ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS/ESTAÇÃO ECOLÓGICA DOS CAETETUS/PARQUE NATURAL MUNICIPAL ITAIM/ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS/PARQUE ESTADUAL CARLOS BOTELHO/APA CORUMBATAí/BOTUCATU E TEJUPá PERIMETRO CORUMBATAí/PARQUE ESTADUAL DE ESPIGãO ALTO/ÁREA DE PROTEçãO AMBIENTAL BORORé-COLôNIA/ESTAÇÃO ECOLÓGICA DE XITUÉ/ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO CAPIVARI-MONOS/RESERVA BIOLÓGICA DE ARARAS/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA SERRA DA ESPERANÇA/ÁREA DE PROTEÇÃO AMBIENTAL DE MACAÉ DE CIMA/PARQUE ESTADUAL DO MORRO DO DIABO/RESERVA BIOLóGICA DA SERRA GERAL/PARQUE ESTADUAL DO PAPAGAIO-CHARÃO/PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA/PARQUE NATURAL MUNICIPAL DA CRATERA DE COLôNIA/APA JUNDIAÍ/ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS/PARQUE ESTADUAL DA SERRA DO MAR/PARQUE ESTADUAL DO ITACOLOMI/PARQUE ESTADUAL  DA ILHA DO CARDOSO/ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA/APA SISTEMA CANTAREIRA/PARQUE ESTADUAL ALBERTO LOEFGREN/PARQUE ESTADUAL INTERVALES/PARQUE ESTADUAL DO FORNO GRANDE,0000.00.01910000.00.02010000.00.02050000.00.01010000.00.00350000.00.00400000.00.00050000.00.00940000.00.01290000.00.01420000.00.01520000.00.01840000.00.02120000.00.02170000.00.00140000.00.00160000.00.00100000.00.00110000.00.00870000.00.01330000.00.01340000.00.01500000.00.01530000.00.01580000.00.01720000.00.01780000.00.01640000.00.00170000.00.00250000.00.00500000.00.0160
30207,2026087,Alouatta guariba guariba,Aullador/Barbado/Barbado-vermelho/Bugio/Bugio-marrom/Bugio-marrom-do-norte/Bugio-ruivo/Guariba/Northern Brown Howler Monkey/Northern Brown Howling Monkey,Mamíferos,Criticamente em Perigo (CR),Parque Nacional do Alto Cariri/Parque Nacional Descobrimento/Parque Nacional do Monte Pascoal/Parque Nacional do Pau Brasil/Reserva Biológica de Sooretama/Reserva Biológica do Córrego do Veado/Reserva Biológica do Córrego Grande/Floresta Nacional de Goytacazes/Reserva Biológica da Mata Escura/PARQUE ESTADUAL DE ITAÚNAS/PARQUE ESTADUAL DO RIO DOCE/ESTAÇÃO ECOLÓGICA MATA DOS AUSENTES/ÁREA DE PROTEÇÃO AMBIENTAL CONCEIÇÃO DA BARRA,0000.00.19100000.00.01710000.00.01820000.00.01760000.00.02010000.00.02040000.00.02050000.00.00910000.00.0193
30212,1319754,Alouatta ululata,Caatinga Howler Monkey/Guariba/Howling Monkey/Maranhão Howler Monkey/Mono-aullador/capelão/guariba-da-Caatinga,Mamíferos,Em Perigo (EN),Parque Nacional de Ubajara/Parque Nacional dos Lençóis Maranhenses/Reserva Extrativista Marinha do Delta do Parnaíba/Área de Proteção Ambiental Delta do Parnaíba/Área de Proteção Ambiental da Serra da Ibiapaba/Floresta Nacional de Palmares/ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS,0000.00.01670000.00.01800000.00.02250000.00.00190000.00.00290000.00.0102
36375,2024732,Altitatiayus campoi,besouro-tesoura,Invertebrados Terrestres,Vulnerável (VU),Área de Proteção Ambiental da Serra da Mantiqueira,0000.00.0011
36376,2024733,Altitatiayus dulceae,besouro-tesoura,Invertebrados Terrestres,Vulnerável (VU),Parque Nacional do Itatiaia,0000.00.0184
36377,2024734,Altitatiayus godinhorum,besouro-tesoura,Invertebrados Terrestres,Vulnerável (VU),Parque Nacional do Itatiaia,0000.00.0184
36378,2024735,Altitatiayus koikei,besouro-tesoura,Invertebrados Terrestres,Vulnerável (VU),Área de Proteção Ambiental da Serra da Mantiqueira,0000.00.0011
36379,2024736,Altitatiayus rotundatus,besouro-tesoura,Invertebrados Terrestres,Vulnerável (VU),Parque Nacional do Itatiaia,0000.00.0184
36380,2024737,Altitatiayus ruficollis,besouro-tesoura,Invertebrados Terrestres,Vulnerável (VU),Parque Nacional do Itatiaia,0000.00.0184
36381,2024738,Altitatiayus trifurcatus,besouro-tesoura,Invertebrados Terrestres,Vulnerável (VU),Área de Proteção Ambiental da Serra da Mantiqueira,0000.00.0011
24273,2022852,Amadonastur lacernulatus,Busardo Cuelliblanco/White-necked Hawk/gavião-pombo-pequeno,Aves,Vulnerável (VU),Parque Nacional da Serra das Lontras/Parque Nacional Descobrimento/Parque Nacional do Monte Pascoal/Reserva Biológica de Augusto Ruschi/Reserva Biológica de Sooretama/Reserva Biológica do Córrego Grande/Parque Nacional da Chapada Diamantina/Parque Nacional da Serra dos Órgãos/Parque Nacional da Tijuca/Parque Nacional Restinga de Jurubatiba/Reserva Biológica de Poço das Antas/Reserva Biológica do Tinguá/Reserva Biológica União/Área de Proteção Ambiental de Cairuçu/Área de Proteção Ambiental de Petrópolis/Parque Nacional da Serra do Itajaí/Parque Nacional do Superagui/Área de Proteção Ambiental de Guaraqueçaba/Parque Nacional do Caparaó/Parque Nacional da Serra do Cipó/PARQUE ESTADUAL DA ILHA GRANDE/PARQUE ESTADUAL  DE ILHABELA/PARQUE ESTADUAL DO RIO DOCE/PARQUE ESTADUAL DA CANTAREIRA/PARQUE ESTADUAL XIXOVÁ-JAPUÍ/ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS/ESTAÇÃO ECOLÓGICA DE FECHOS/PARQUE ESTADUAL SERRA DO PAPAGAIO/PARQUE ESTADUAL DO DESENGANO/ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS/PARQUE ESTADUAL DA SERRA DO MAR/PARQUE ESTADUAL DA SERRA DO TABULEIRO/PARQUE ESTADUAL  DA ILHA DO CARDOSO/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA/PARQUE ESTADUAL INTERVALES,0000.00.19090000.00.01710000.00.01820000.00.01910000.00.02010000.00.02050000.00.01370000.00.01520000.00.01540000.00.01410000.00.02150000.00.02120000.00.02170000.00.00130000.00.00100000.00.01500000.00.01780000.00.00170000.00.01600000.00.0148
24275,9859,Amazona pretrei,Amazona charao/Red-spectacled Amazon/papagaio-charão,Aves,Vulnerável (VU),Floresta Nacional de Passo Fundo/Parque Nacional da Serra Geral/Parque Nacional Aparados da Serra/Estação Ecologica de Aracuri-Esmeralda,0000.00.01300000.00.01530000.00.01580000.00.0050
24276,9858,Amazona rhodocorytha,Amazona coronirroja/Red-browed Amazon/chauá,Aves,Vulnerável (VU),,
24277,9882,Amazona vinacea,Amazona vinosa/Papagaio-de-peito-roxo/Vinaceous-breasted Amazon/papagaio-de-peito-roxo,Aves,Vulnerável (VU),,
34135,2023255,Ameiva parecis,calango,Répteis,Em Perigo (EN),,
34139,2023263,Ameivula nativo,lagartinho-de-Linhares/lagartinho-nativo,Répteis,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU/ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO/ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE/ÁREA DE PROTEÇÃO AMBIENTAL CONCEIÇÃO DA BARRA,
25519,2026174,Amerotyphlops amoipira,cobra-cega-das-dunas,Répteis,Em Perigo (EN),Área de Proteção Ambiental de Piaçabuçú/Reserva Extrativista da Baia do Tubarao/ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO/ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO PANDEIROS/ÁREA DE PROTEÇÃO AMBIENTAL  BONFIM/GUARAÍRA,0000.00.00180000.00.3653
25520,2026177,Amerotyphlops paucisquamus,Pernambuco worm snake,Répteis,Vulnerável (VU),Área de Proteção Ambiental da Barra do Rio Mamanguape/ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ/ÁREA DE PROTEÇÃO AMBIENTAL  BONFIM/GUARAÍRA/ÁREA DE PROTEÇÃO AMBIENTAL DO CATOLÉ E FERNÃO VELHO/ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS,0000.00.0007
25521,2026179,Amerotyphlops yonenagae,Yonenga Worm Snake/cobra-cega-do-são-francisco,Répteis,Em Perigo (EN),Estação Ecológica Raso da Catarina/ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE ITAPARICA,0000.00.0074
34146,239057,Amphisbaena arda,cobra-de-duas-cabeças,Répteis,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO,
34162,239035,Amphisbaena frontalis,cobra-de-duas-cabeças,Répteis,Em Perigo (EN),Parque Nacional da Serra da Capivara/Parque Nacional Serra das Confusões/ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO/ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO,0000.00.01450000.00.0146
34182,239013,Amphisbaena nigricauda,cobra-de-duas-cabeças,Répteis,Em Perigo (EN),Reserva Biológica de Sooretama/ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO,0000.00.0201
34192,2023232,Amphisbaena supernumeraria,cobra-de-duas-cabeças,Répteis,Em Perigo (EN),Parque Nacional do Catimbau,0000.00.0170
34196,2023233,Amphisbaena uroxena,cobra-de-duas-cabeças,Répteis,Em Perigo (EN),Área de Proteção Ambiental da Serra da Ibiapaba,0000.00.0029
36383,2024721,Amydetes bellorum,vaga-lume,Invertebrados Terrestres,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS,
24862,2025406,Anablepsoides cearensis,Killifish/Peixe-anual,Peixes Continentais,Criticamente em Perigo (CR),,
34016,2024079,Ananteris infuscata,Escorpião,Invertebrados Terrestres,Em Perigo (EN),,
22442,2301310,Ancistomus snethlageae,L141L215aba branca./acari/cari/cascudo/cascudo aba branca/ghost pleco,Peixes Continentais,Em Perigo (EN),Parque Nacional do Jamanxim,0000.00.0267
34296,866752,Ancistrus cryptophthalmus,Cascudinho-de-caverna,Peixes Continentais,Em Perigo (EN),PARQUE ESTADUAL DE TERRA RONCA,
34299,866750,Ancistrus formoso,Cascudo-cego,Peixes Continentais,Vulnerável (VU),,
22437,866099,Ancistrus minutus,Bodó seda,Peixes Continentais,Em Perigo (EN),,
26167,516024,Anochetus oriens,formiga,Invertebrados Terrestres,Vulnerável (VU),Reserva Biológica de Sooretama,0000.00.0201
12161,9940,Anodorhynchus leari,Guacamayo Cobalto/Guacamayo de Lear/Indigo Macaw/Lear’s Macaw/arara-azul-de-lear,Aves,Em Perigo (EN),Estação Ecológica Raso da Catarina/ÁREA DE PROTEÇÃO AMBIENTAL SERRA BRANCA / RASO DA CATARINA,0000.00.0074
29613,8311,Anthus nattereri,Bisbita ocre/Ochre-breasted Pipit/caminheiro-grande,Aves,Vulnerável (VU),Parque Nacional da Serra Geral/Parque Nacional da Serra da Canastra/ESTAÇÃO ECOLÓGICA DE ITIRAPINA,0000.00.01530000.00.0144
12090,8312,Antilophia bokermanni,Araripe Manakin/Saltarín de Araripe/soldadinho-do-araripe,Aves,Criticamente em Perigo (CR),Floresta Nacional do Araripe-Apodi/Área de Proteção Ambiental Chapada do Araripe,0000.00.01150000.00.0008
24446,2300478,Anumara forbesi,Chango de Forbes/Forbes's Blackbird/anumará,Aves,Vulnerável (VU),Estação Ecológica de Murici/PARQUE ESTADUAL DO RIO DOCE/ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ/REFúGIO DE VIDA SILVESTRE MATAS DO SISTEMA GURJAú/ÁREA DE PROTEÇÃO AMBIENTAL DE SIRINHAÉM,0000.00.0059
21786,2025766,Aparasphenodon pomba,Casque-headed tree frog/Painted tree frog/Perereca/Perereca-pintada,Anfíbios,Criticamente em Perigo (CR),,
34303,176876,Apareiodon davisi,Peixe-rei,Peixes Continentais,Em Perigo (EN),,
31093,1742312,Apareiodon vladii,Canivete/charuto,Peixes Continentais,Vulnerável (VU),,
31057,729367,Aphyocheirodon hemigrammus,Lambari,Peixes Continentais,Vulnerável (VU),Área de Proteção Ambiental das Ilhas e Várzeas do Rio Paraná/ESTAÇÃO ECOLÓGICA JATAÍ,0000.00.0025
25523,1769755,Apostolepis arenaria,cobra-rainha-do-são-francisco,Répteis,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO,
25526,1372826,Apostolepis gaboi,cobra-rainha-das-dunas,Répteis,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO,
25529,1530636,Apostolepis quirogai,,Répteis,Em Perigo (EN),,
25530,2023362,Apostolepis serrana,cobra-rainha-da-serra-do-roncador,Répteis,Em Perigo (EN),,
25531,2023363,Apostolepis striata,cobra-rainha-estriada,Répteis,Em Perigo (EN),,
