sq_ficha,sq_taxon,Nome Cientifico,Nome Comum,Grupo Taxonômico,Categoria de Risco,Unidades de Conservação onde ocorrem,Código CNUC
33385,598619,Sparisoma frondosum,Agassiz’s parrotfish/Bobó/Budião-batata/Peixe-papagaio-cinza/peixe-papagaio-cinza,Peixes Marinhos,Vulnerável (VU),Parque Nacional Marinho de Fernando de Noronha/Reserva Biológica do Atol das Rocas/Área de Proteção Ambiental da Costa dos Corais/Área de Proteção Ambiental de Fernando de Noronha - Rocas - São Pedro e São Paulo/Parque Nacional Marinho dos Abrolhos/Reserva Extrativista do Corumbau/Estação Ecológica de Tupinambás/Estação Ecológica dos Tupiniquins/Reserva Biológica Marinha do Arvoredo/Refúgio de Vida Silvestre do Arquipélago de Alcatrazes/PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS/APA MARINHA DO LITORAL CENTRO/PARQUE ESTADUAL MARINHO DO PARCEL DE MANUEL LUÍS,0000.00.01860000.00.02030000.00.00090000.00.00150000.00.01850000.00.02520000.00.00640000.00.00710000.00.02140000.00.3432
33387,1514238,Sparisoma rocha,Bodião-de-trindade,Peixes Marinhos,Vulnerável (VU),Área de Proteção Ambiental do Arquipélago de Trindade e Martim Vaz,0000.00.3633
25843,2025547,Spectrolebias reticulatus,Pece anual/Peixe anual/annual killifish,Peixes Continentais,Criticamente em Perigo (CR),,
15636,1637844,Spelaeobochica allodentatus,Falso-escorpião/Pseudoescorpião/falso-escorpião/pseudoescorpião,Invertebrados Terrestres,Criticamente em Perigo (CR),ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,
14574,2024074,Spelaeobochica iuiu,Falsos-escorpiões/falso-escorpião/pseudoescorpião/pseudoescorpiões,Invertebrados Terrestres,Criticamente em Perigo (CR),,
14575,1853279,Spelaeobochica muchmorei,Falso-escorpião/Pseudoescorpião/falso-escorpião/pseudoescorpião,Invertebrados Terrestres,Em Perigo (EN),PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,
34026,1832067,Spelaeochernes gracilipalpus,falso-escorpião/pseudoescorpião,Invertebrados Terrestres,Em Perigo (EN),PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA/PARQUE ESTADUAL INTERVALES,
14613,902739,Speocera eleonorae,Aranha,Invertebrados Terrestres,Em Perigo (EN),Parque Nacional da Serra da Bodoquena,0000.00.0143
14021,9374,Speothos venaticus,bush dog/cachorro-do-mato-vinagre/cachorro-vinagre/chiens des buissons/perro de monte/zorrito vinagre,Mamíferos,Vulnerável (VU),Reserva Biológica do Gurupi/Reserva Biológica do Tapirapé/Floresta Nacional do Amapá/Parque Nacional da Chapada das Mesas/Parque Nacional das Nascentes do Rio Parnaíba/Parque Nacional do Iguaçu/Área de Proteção Ambiental de Guaraqueçaba/Reserva Extrativista Lago do Cedro/Parque Nacional das Emas/Parque Nacional Cavernas do Peruaçu/Parque Nacional da Chapada dos Veadeiros/Parque Nacional Grande Sertão Veredas/Parque Nacional dos Campos Amazônicos/Parque Nacional Mapinguari/Reserva Biológica do Jaru/Parque Nacional do Jaú/Parque Nacional do Viruá/Estação Ecologica de Maracá/Parque Nacional da Amazônia/Parque Nacional da Serra do Pardo/Parque Nacional do Jamanxim/Reserva Biológica do Rio Trombetas/Floresta Nacional de Tapajós/Parque Nacional Guaricana/Estação Ecológica da Terra do Meio/RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL AMANÃ/PARQUE ESTADUAL DO JALAPÃO/PARQUE ESTADUAL DO CANTãO/PARQUE ESTADUAL CARLOS BOTELHO/PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA/PARQUE ESTADUAL VEREDAS DO PERUAÇU/ÁREA DE PROTEÇÃO AMBIENTAL COCHÁ E GIBÃO,0000.00.02070000.00.02110000.00.01130000.00.02720000.00.01560000.00.01720000.00.00170000.00.02870000.00.01550000.00.01350000.00.01390000.00.01830000.00.02840000.00.16330000.00.02080000.00.01730000.00.01790000.00.00570000.00.01360000.00.01510000.00.02670000.00.02100000.00.01230000.00.31370000.00.0047
9394,1011601,Sphyrna lewini,Tubarão-martelo/cambeva/cambeva-branca/cambevota/pateira-de-galha-preta/tubarão-martelo/tubarão-martelo entalhado/vaca,Peixes Marinhos,Criticamente em Perigo (CR),Parque Nacional do Cabo Orange/Reserva Extrativista de Cururupu/Parque Nacional Marinho de Fernando de Noronha/Área de Proteção Ambiental da Costa dos Corais/Parque Nacional Marinho dos Abrolhos/Estação Ecológica de Tupinambás/Área de Proteção Ambiental da Baleia Franca/Reserva Biológica Marinha do Arvoredo/Refúgio de Vida Silvestre do Arquipélago de Alcatrazes/ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE/APA MARINHA DO LITORAL CENTRO,0000.00.01690000.00.02790000.00.01860000.00.00090000.00.01850000.00.00640000.00.00060000.00.02140000.00.3432
